NAME,ISIN,CUSIP,Country Name
VRTS US Equity,US92828Q1094,92828Q109,UNITED STATES
CFN US Equity,US14170T1016,14170T101,UNITED STATES
AOL US Equity,US00184X1054,00184X105,UNITED STATES
MSG US Equity,US55826P1003,55826P100,UNITED STATES
CLGX US Equity,US21871D1037,21871D103,UNITED STATES
QEP US Equity,US74733V1008,74733V100,UNITED STATES
BWC US Equity,US05615F1021,05615F102,UNITED STATES
HHC US Equity,US44267D1072,44267D107,UNITED STATES
HII US Equity,US4464131063,446413106,UNITED STATES
AMCX US Equity,US00164V1035,00164V103,UNITED STATES
MPC US Equity,US56585A1025,56585A102,UNITED STATES
FBHS US Equity,US34964C1062,34964C106,UNITED STATES
XYL US Equity,US98419M1009,98419M100,UNITED STATES
XLS US Equity,US30162A1088,30162A108,UNITED STATES
VAC US Equity,US57164Y1073,57164Y107,UNITED STATES
TRIP US Equity,US8969452015,896945201,UNITED STATES
WPX US Equity,US98212B1035,98212B103,UNITED STATES
RSE US Equity,US7792871011,779287101,UNITED STATES
POST US Equity,US7374461041,737446104,UNITED STATES
PSX US Equity,US7185461040,718546104,UNITED STATES
FRGI US Equity,US31660B1017,31660B101,UNITED STATES
ALEX US Equity,US0144911049,14491104,UNITED STATES
EGL US Equity,US29285W1045,29285W104,UNITED STATES
LVNTA US Equity,US53071M8800,53071M880,UNITED STATES
ADT US Equity,US00101J1060,00101J106,UNITED STATES
HY US Equity,US4491721050,449172105,UNITED STATES
KRFT US Equity,US50076Q1067,50076Q106,UNITED STATES
CNSI US Equity,US20585P1057,20585P105,UNITED STATES
RESI US Equity,US02153W1009,02153W100,VIRGIN ISLANDS
ABBV US Equity,US00287Y1091,00287Y109,UNITED STATES
STRZA US Equity,US85571Q1022,85571Q102,UNITED STATES
AXLL US Equity,US05463D1000,05463D100,UNITED STATES
ERA US Equity,US26885G1094,26885G109,UNITED STATES
CST US Equity,US12646R1059,12646R105,UNITED STATES
NRZ US Equity,US64828T1025,64828T102,UNITED STATES
NWSA US Equity,US65249B1098,65249B109,UNITED STATES
MUSA US Equity,US6267551025,626755102,UNITED STATES
SAIC US Equity,US8086251076,808625107,UNITED STATES
FTD US Equity,US30281V1089,30281V108,UNITED STATES
GLPI US Equity,US36467J1088,36467J108,UNITED STATES
AYR US Equity,BMG0129K1045,N.A.,UNITED STATES
MO US Equity,US02209S1033,02209S103,UNITED STATES
AEE US Equity,US0236081024,23608102,UNITED STATES
T US Equity,US00206R1023,00206R102,UNITED STATES
AVA US Equity,US05379B1070,05379B107,UNITED STATES
BMY US Equity,US1101221083,110122108,UNITED STATES
CMO US Equity,US14067E5069,14067E506,UNITED STATES
CNSL US Equity,US2090341072,209034107,UNITED STATES
ED US Equity,US2091151041,209115104,UNITED STATES
EEP US Equity,US29250R1068,29250R106,UNITED STATES
ETP US Equity,US29273R1095,29273R109,UNITED STATES
ETR US Equity,US29364G1031,29364G103,UNITED STATES
EPD US Equity,US2937921078,293792107,UNITED STATES
FGP US Equity,US3152931008,315293100,UNITED STATES
FE US Equity,US3379321074,337932107,UNITED STATES
FTR US Equity,US35906A1088,35906A108,UNITED STATES
GXP US Equity,US3911641005,391164100,UNITED STATES
HE US Equity,US4198701009,419870100,UNITED STATES
TEG US Equity,US45822P1057,45822P105,UNITED STATES
LMT US Equity,US5398301094,539830109,UNITED STATES
LO US Equity,US5441471019,544147101,UNITED STATES
MRK US Equity,US58933Y1055,58933Y105,UNITED STATES
MFA US Equity,US55272X1028,55272X102,UNITED STATES
NRP US Equity,US63900P1030,63900P103,UNITED STATES
NKA US Equity,US6546781013,654678101,UNITED STATES
OKS US Equity,US68268N1037,68268N103,UNITED STATES
PDLI US Equity,US69329Y1047,69329Y104,UNITED STATES
PMT US Equity,US70931T1034,70931T103,UNITED STATES
POM US Equity,US7132911022,713291102,UNITED STATES
PNW US Equity,US7234841010,723484101,UNITED STATES
PVR US Equity,US6936651016,693665101,UNITED STATES
QRE US Equity,US74734R1086,74734R108,UNITED STATES
RGC US Equity,US7587661098,758766109,UNITED STATES
RSO US Equity,US76120W3025,76120W302,UNITED STATES
RAI US Equity,US7617131062,761713106,UNITED STATES
TCP US Equity,US87233Q1085,87233Q108,UNITED STATES
SE US Equity,US8475601097,847560109,UNITED STATES
VGR US Equity,US92240M1080,92240M108,UNITED STATES
VVC US Equity,US92240G1013,92240G101,UNITED STATES
VZ US Equity,US92343V1044,92343V104,UNITED STATES
WPC US Equity,US92936U1097,92936U109,UNITED STATES
WIN US Equity,US97382A1016,97382A101,UNITED STATES
WWE US Equity,US98156Q1085,98156Q108,UNITED STATES
CLI US Equity,US5544891048,554489104,UNITED STATES
CLNY US Equity,US19624R1068,19624R106,UNITED STATES
STWD US Equity,US85571B1052,85571B105,UNITED STATES
GOV US Equity,US38376A1034,38376A103,UNITED STATES
EPR US Equity,US26884U1097,26884U109,UNITED STATES
NYCB US Equity,US6494451031,649445103,UNITED STATES
CWH US Equity,US2032331017,203233101,UNITED STATES
UCS IN Equity,INE607F01021,N.A.,INDIA
UNTDB IN Equity,INE695A01019,N.A.,INDIA
STR IN Equity,INE939A01011,N.A.,INDIA
STCP IN Equity,INE035C01014,N.A.,INDIA
SIEM IN Equity,INE003A01024,N.A.,INDIA
RIL IN Equity,INE002A01018,N.A.,INDIA
PND IN Equity,INE889E01010,N.A.,INDIA
NIL IN Equity,INE997D01021,N.A.,INDIA
MRF IN Equity,INE883A01011,N.A.,INDIA
MPHL IN Equity,INE356A01018,N.A.,INDIA
MSS IN Equity,INE775A01035,N.A.,INDIA
LME IN Equity,INE028C01019,N.A.,INDIA
HCLT IN Equity,INE860A01027,N.A.,INDIA
EDIS IN Equity,INE180G01019,N.A.,INDIA
CLPL IN Equity,INE475E01018,N.A.,INDIA
AKIL IN Equity,INE143N01021,N.A.,INDIA
JFD IN Equity,INE921D01013,N.A.,INDIA
APTY IN Equity,INE438A01022,N.A.,INDIA
ALOK IN Equity,INE270A01011,N.A.,INDIA
SOI LN Equity,GB00B0CRWN59,N.A.,GUERNSEY
DOC US Equity,US71943U1043,71943U104,UNITED STATES
PFE US Equity,US7170811035,717081103,UNITED STATES
TSC TB Equity,TH0847010004,N.A.,THAILAND
PGR US Equity,US7433151039,743315103,UNITED STATES
NXT LN Equity,GB0032089863,N.A.,BRITAIN
PNA GR Equity,ZAE000184149,N.A.,SOUTH AFRICA
8079 HK Equity,BMG9289V1494,N.A.,HONG KONG
PNB PM Equity,PHY7027H1583,N.A.,PHILIPPINES
EPCO TB Equity,TH0344B10Z07,N.A.,THAILAND
TTA TB Equity,TH0535010Z05,N.A.,THAILAND
PIL SS Equity,SE0005133253,N.A.,SWEDEN
SNFCA US Equity,US8147853092,814785309,UNITED STATES
AAPL US Equity,US0378331005,37833100,UNITED STATES
MANH US Equity,US5627501092,562750109,UNITED STATES
RLI US Equity,US7496071074,749607107,UNITED STATES
8967 JP Equity,JP3046230003,N.A.,JAPAN
007630 KS Equity,KR7007630007,N.A.,SOUTH KOREA
SIRI US Equity,US82968B1035,82968B103,UNITED STATES
RLO SJ Equity,ZAE000057428,N.A.,SOUTH AFRICA
CIG US Equity,US2044096012,204409601,BRAZIL
LEW SJ Equity,ZAE000058236,N.A.,SOUTH AFRICA
384 HK Equity,BMG2109G1033,N.A.,HONG KONG
OKE US Equity,US6826801036,682680103,UNITED STATES
